contamination,threshold_if_score,alerts_full_count,alerts_full_rate,sample_precision,sample_recall,sample_f1,sample_tp,sample_fp,sample_fn
0.005,-0.16734300083462034,516,0.0050043157374092,0.2857142857142857,0.05263157894736842,0.08888888888888889,2,5,36
0.01,-0.14580817469534083,1032,0.0100086314748184,0.4166666666666667,0.13157894736842105,0.19999999999999998,5,7,33
0.02,-0.1080994613979637,2063,0.02000756466332399,0.47058823529411764,0.21052631578947367,0.2909090909090909,8,9,30
0.05,-0.06069125937868969,5156,0.05000436422884076,0.7,0.5526315789473685,0.6176470588235295,21,9,17
0.1,0.0,10314,0.10002812503030714,0.75,0.868421052631579,0.8048780487804879,33,11,5
